Kód produktu;Název;Nákupní cena;Prodejní cena;Mare Kè;Mare %;Multishop
47452/138170;"Plastové patentky / stiskací knoflíky mini vel. 16""";0.0;82.0;82.0;100.0;100
47452/138171;"Plastové patentky / stiskací knoflíky mini vel. 16""";75.02;82.0;6.98;8.51;10
47452/145300;"Plastové patentky / stiskací knoflíky mini vel. 16""";75.02;82.0;6.98;8.51;10
47452/149015;"Plastové patentky / stiskací knoflíky mini vel. 16""";48.4;80.9;32.5;40.17;45
47452/192643;"Plastové patentky / stiskací knoflíky mini vel. 16""";75.02;82.0;6.98;8.51;10
47452/192701;"Plastové patentky / stiskací knoflíky mini vel. 16""";48.4;81.7;33.3;40.76;45
47452/209337;"Plastové patentky / stiskací knoflíky mini vel. 16""";0.68;80.5;79.82;99.16;100
47452/228468;"Plastové patentky / stiskací knoflíky mini vel. 16""";75.02;81.9;6.88;8.4;10
109596/138176;"Plastové patentky / stiskací knoflíky vel. 18""";0.66;180.0;179.34;99.63;100
109596/138177;"Plastové patentky / stiskací knoflíky vel. 18""";0.66;180.0;179.34;99.63;100
109596/138178;"Plastové patentky / stiskací knoflíky vel. 18""";0.66;180.0;179.34;99.63;100
109596/138179;"Plastové patentky / stiskací knoflíky vel. 18""";0.66;180.0;179.34;99.63;100
109596/138181;"Plastové patentky / stiskací knoflíky vel. 18""";0.66;180.0;179.34;99.63;100
109596/145291;"Plastové patentky / stiskací knoflíky vel. 18""";0.66;180.0;179.34;99.63;100
109596/151840;"Plastové patentky / stiskací knoflíky vel. 18""";0.66;180.0;179.34;99.63;100
109596/171962;"Plastové patentky / stiskací knoflíky vel. 18""";0.66;180.0;179.34;99.63;100
109596/171963;"Plastové patentky / stiskací knoflíky vel. 18""";200.0;227.5;27.5;12.09;15
109596/171964;"Plastové patentky / stiskací knoflíky vel. 18""";0.66;180.0;179.34;99.63;100
109596/197386;"Plastové patentky / stiskací knoflíky vel. 18""";0.66;180.0;179.34;99.63;100
109596/197445;"Plastové patentky / stiskací knoflíky vel. 18""";0.66;180.0;179.34;99.63;100
109596/197498;"Plastové patentky / stiskací knoflíky vel. 18""";0.66;180.0;179.34;99.63;100
109596/209446;"Plastové patentky / stiskací knoflíky vel. 18""";0.66;180.0;179.34;99.63;100
109596/236132;"Plastové patentky / stiskací knoflíky vel. 18""";200.0;227.5;27.5;12.09;15
109596/236133;"Plastové patentky / stiskací knoflíky vel. 18""";0.66;180.0;179.34;99.63;100
109596/236134;"Plastové patentky / stiskací knoflíky vel. 18""";0.66;180.0;179.34;99.63;100
109596/249773;"Plastové patentky / stiskací knoflíky vel. 18""";200.0;227.5;27.5;12.09;15
